"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU173","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae"
"OTU236","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU1","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU827","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU107","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU561","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae"
"OTU1273","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU3638","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","uncl_Cladophialophora"
"OTU67","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU6679","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU2407","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales"
"OTU102","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU75","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","uncl_Periconia"
"OTU12","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU749","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","uncl_Lophiostoma"
"OTU2","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU877","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU12011","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU24","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales"
"OTU187","Fungi","Ascomycota","Sordariomycetes","Diaporthales","uncl_Diaporthales","uncl_Diaporthales","uncl_Diaporthales"
"OTU205","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","uncl_Strophariaceae","uncl_Strophariaceae"
"OTU25","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU48","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU1529","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae"
"OTU423","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU1509","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","uncl_Periconia"
"OTU135","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU689","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU50","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","uncl_Lachnum"
"OTU3018","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae"
"OTU91","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_polyphialidicum"
"OTU742","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU367","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","uncl_Pleosporaceae","uncl_Pleosporaceae"
"OTU100","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","uncl_Marasmiaceae","uncl_Marasmiaceae"
"OTU13116","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"OTU177","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU7288","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU225","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_persicinum"
"OTU12774","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU1854","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU53","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae"
"OTU233","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU146","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"OTU3757","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU76","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","uncl_Myrmecridium"
"OTU715","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales"
"OTU149","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","uncl_Didymosphaeriaceae","uncl_Didymosphaeriaceae"
"OTU30","Fungi","Ascomycota","Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes"
"OTU594","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"OTU631","Fungi","Ascomycota","Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes"
"OTU830","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","uncl_Nemania"
"OTU7602","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae"
"OTU3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU7361","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae"
"OTU8836","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU293","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_inaequalis"
"OTU5531","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae"
"OTU10392","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU918","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU121","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU809","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU7504","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU5396","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU674","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU9163","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU939","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales"
"OTU1644","Fungi","Ascomycota","Sordariomycetes","Hypocreales","uncl_Hypocreales","uncl_Hypocreales","uncl_Hypocreales"
"OTU58","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU3896","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU289","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU214","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU137","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU200","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU655","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","uncl_Marasmiaceae","uncl_Marasmiaceae"
"OTU552","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU1792","Fungi","Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota"
"OTU10","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU926","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU2462","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae"
"OTU9487","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU4672","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU94","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthiopsis","uncl_Magnaporthiopsis"
"OTU469","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU708","Fungi","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes"
"OTU532","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU649","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU7127","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","uncl_Trichoderma"
"OTU2559","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU4938","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","uncl_Curvularia"
"OTU1170","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea","uncl_Veronaea"
"OTU301","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria"
"OTU679","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU5848","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU56","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU4421","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU1056","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","uncl_Phaeosphaeriaceae","uncl_Phaeosphaeriaceae"
"OTU256","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","uncl_Aureobasidium"
"OTU11846","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU280","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthiopsis","uncl_Magnaporthiopsis"
"OTU123","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","uncl_Stachybotryaceae","uncl_Stachybotryaceae"
"OTU10124","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU437","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales"
"OTU2688","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU108","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU5088","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales"
"OTU5708","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae"
"OTU263","Fungi","Ascomycota","Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes"
"OTU1252","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Podoscyphaceae","Podoscypha","uncl_Podoscypha"
"OTU8314","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU1485","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","uncl_Ophiocordycipitaceae","uncl_Ophiocordycipitaceae"
"OTU351","Fungi","Ascomycota","Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes"
"OTU3481","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU1575","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae"
"OTU11063","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU2386","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU6115","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae"
"OTU40","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Crinipellis","uncl_Crinipellis"
"OTU432","Fungi","Basidiomycota","Agaricomycetes","Geastrales","uncl_Geastrales","uncl_Geastrales","uncl_Geastrales"
"OTU876","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU9657","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU2222","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium","Simplicillium_lamellicola"
"OTU15","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU673","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales"
"OTU182","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Codinaea","uncl_Codinaea"
"OTU2641","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU8542","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU2125","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU12935","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae"
"OTU73","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","uncl_Hyaloscyphaceae","uncl_Hyaloscyphaceae"
"OTU1642","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","uncl_Penicillium"
"OTU2285","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_jadinii"
"OTU636","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU6063","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU154","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU2642","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU1815","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU2794","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","uncl_Trichoderma"
"OTU929","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU3109","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU1448","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales"
"OTU422","Fungi","Ascomycota","Sordariomycetes","Hypocreales","uncl_Hypocreales","uncl_Hypocreales","uncl_Hypocreales"
"OTU287","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"OTU2467","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU1643","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","uncl_Alternaria"
"OTU7766","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU148","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"OTU4217","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU10931","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae"
"OTU13030","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"OTU1809","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","uncl_Pestalotiopsidaceae","uncl_Pestalotiopsidaceae"
"OTU14","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Ijuhya","uncl_Ijuhya"
"OTU176","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces"
"OTU223","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU12045","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU520","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","uncl_Nigrospora"
"OTU9","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae"
"OTU1383","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU143","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU7437","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Fimicolochytrium","uncl_Fimicolochytrium"
"OTU120","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"OTU7840","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU5716","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","uncl_Penicillium"
"OTU1284","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales"
"OTU12189","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU131","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU476","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU13013","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU183","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"OTU9703","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","uncl_Curvularia"
"OTU3359","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","uncl_Rhizophagus"
"OTU4198","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU7264","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","uncl_Sporormiaceae","uncl_Sporormiaceae"
"OTU7451","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU5399","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales"
"OTU11860","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","uncl_Curvularia"
"OTU115","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"OTU4381","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU186","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU2521","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae"
"OTU127","Fungi","Ascomycota","Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes"
"OTU5602","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","uncl_Hyaloscyphaceae","uncl_Hyaloscyphaceae"
"OTU13039","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae"
"OTU10922","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","Stagonospora_bicolor"
"OTU11279","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","uncl_Magnaporthaceae","uncl_Magnaporthaceae"
"OTU229","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae"
"OTU51","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","uncl_Didymosphaeriaceae","uncl_Didymosphaeriaceae"
"OTU12561","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU22","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Mollisia","uncl_Mollisia"
"OTU129","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU34","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"OTU5042","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
"OTU1513","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"OTU632","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","uncl_Phaeosphaeriaceae","uncl_Phaeosphaeriaceae"
"OTU2171","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","uncl_Geopora"
"OTU663","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales"
"OTU1084","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes"
