"","SampleID","X16S_ID","sample_name","Replicate","Site","Site_Grass","Site.Rep","Grass","Grass_Rep","Edge","SiteName","MAT_degC","MAP_mm","CollectionDate","Latitude","Longitude","Elevation_m","Grassland","Gradient","Bin","julianday","coll_GDD","GDD30yr","GDD3yr","GDD2015","ppt30yr","ppt3yr","ppt2015","soil_moisture","GWC","perc_moisture","pH","phos","ammonium","nitrate","SOM","herbivory_perc","avg_SLA","avg_SRL"
"SRR13801398","SRR13801398","X1351_1947","BLM_BOGR_8",8,"BLM","BLM_BOGR","BLM.8","BOGR","BOGR_8","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"SRR13801333","SRR13801333","X1351_1948","BLM_BOGR_9",9,"BLM","BLM_BOGR","BLM.9","BOGR","BOGR_9","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"SRR13801311","SRR13801311","X1351_1937","BLM_SCSC_10",10,"BLM","BLM_SCSC","BLM.10","SCSC","SCSC_10","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801300","SRR13801300","X1351_1938","BLM_SCSC_11",11,"BLM","BLM_SCSC","BLM.11","SCSC","SCSC_11","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801289","SRR13801289","X1351_1939","BLM_SCSC_12",12,"BLM","BLM_SCSC","BLM.12","SCSC","SCSC_12","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801322","SRR13801322","X1351_1928","BLM_SCSC_1",1,"BLM","BLM_SCSC","BLM.1","SCSC","SCSC_1","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801278","SRR13801278","X1351_1929","BLM_SCSC_2",2,"BLM","BLM_SCSC","BLM.2","SCSC","SCSC_2","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801219","SRR13801219","X1351_1930","BLM_SCSC_3",3,"BLM","BLM_SCSC","BLM.3","SCSC","SCSC_3","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801208","SRR13801208","X1351_1931","BLM_SCSC_4",4,"BLM","BLM_SCSC","BLM.4","SCSC","SCSC_4","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801197","SRR13801197","X1351_1932","BLM_SCSC_5",5,"BLM","BLM_SCSC","BLM.5","SCSC","SCSC_5","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801185","SRR13801185","X1351_1933","BLM_SCSC_6",6,"BLM","BLM_SCSC","BLM.6","SCSC","SCSC_6","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801126","SRR13801126","X1351_1934","BLM_SCSC_7",7,"BLM","BLM_SCSC","BLM.7","SCSC","SCSC_7","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13801115","SRR13801115","X1351_1935","BLM_SCSC_8",8,"BLM","BLM_SCSC","BLM.8","SCSC","SCSC_8","no","BLM",NA,NA,"9/4/15",37.616931,-106.262403,2374,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,206.539999,188.4099974,226.8899946,0.862792246,0.15902757,13.72077541,7.25,0.190696877,0.951111497,0.376798122,4.194209641,5.333333333,190.7832457,1720.186109
"SRR13800962","SRR13800962","X1351_1662","BNP_BOER_10",10,"BNP","BNP_BOER","BNP.10","BOER","BOER_10","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13800927","SRR13800927","X1351_1663","BNP_BOER_11",11,"BNP","BNP_BOER","BNP.11","BOER","BOER_11","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13800916","SRR13800916","X1351_1664","BNP_BOER_12",12,"BNP","BNP_BOER","BNP.12","BOER","BOER_12","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13800973","SRR13800973","X1351_1653","BNP_BOER_1",1,"BNP","BNP_BOER","BNP.1","BOER","BOER_1","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801586","SRR13801586","X1351_1654","BNP_BOER_2",2,"BNP","BNP_BOER","BNP.2","BOER","BOER_2","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801575","SRR13801575","X1351_1655","BNP_BOER_3",3,"BNP","BNP_BOER","BNP.3","BOER","BOER_3","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801170","SRR13801170","X1351_1656","BNP_BOER_4",4,"BNP","BNP_BOER","BNP.4","BOER","BOER_4","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801159","SRR13801159","X1351_1657","BNP_BOER_5",5,"BNP","BNP_BOER","BNP.5","BOER","BOER_5","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801370","SRR13801370","X1351_1658","BNP_BOER_6",6,"BNP","BNP_BOER","BNP.6","BOER","BOER_6","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801359","SRR13801359","X1351_1659","BNP_BOER_7",7,"BNP","BNP_BOER","BNP.7","BOER","BOER_7","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801423","SRR13801423","X1351_1660","BNP_BOER_8",8,"BNP","BNP_BOER","BNP.8","BOER","BOER_8","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801412","SRR13801412","X1351_1661","BNP_BOER_9",9,"BNP","BNP_BOER","BNP.9","BOER","BOER_9","no","BNP",NA,NA,"7/15/15",29.23005,-103.37832,1201,"desert","West","South",196,3038.555556,5592.194444,5647.958333,5652.59,306.1300001,242.2766649,293.6299992,0.962448115,0.039017049,3.755188516,8.17,0.178937753,0.90500345,0.358531677,1.948606213,2.333333333,124.8059605,1950.898179
"SRR13801401","SRR13801401","X1351_673","BNP_BOGR_1",1,"BNP","BNP_BOGR","BNP.1","BOGR","BOGR_1","no","BNP",NA,NA,"7/15/15",29.27425,-103.286083,1705.4,"desert","West","South",196,2632.944444,4839.333333,4839.526667,4836.265,415.0500059,285.8899972,337.0800018,0.917889696,0.089455524,8.211030351,7.58,0.180972674,0.97278644,0.385384999,3.560442131,0.1875,121.8028727,1483.107897
"SRR13801146","SRR13801146","X1351_677","BNP_BOGR_5",5,"BNP","BNP_BOGR","BNP.5","BOGR","BOGR_5","no","BNP",NA,NA,"7/15/15",29.27425,-103.286083,1705.4,"desert","West","South",196,2632.944444,4839.333333,4839.526667,4836.265,415.0500059,285.8899972,337.0800018,0.917889696,0.089455524,8.211030351,7.58,0.180972674,0.97278644,0.385384999,3.560442131,0.1875,121.8028727,1483.107897
"SRR13801135","SRR13801135","X1351_678","BNP_BOGR_6",6,"BNP","BNP_BOGR","BNP.6","BOGR","BOGR_6","no","BNP",NA,NA,"7/15/15",29.27425,-103.286083,1705.4,"desert","West","South",196,2632.944444,4839.333333,4839.526667,4836.265,415.0500059,285.8899972,337.0800018,0.917889696,0.089455524,8.211030351,7.58,0.180972674,0.97278644,0.385384999,3.560442131,0.1875,121.8028727,1483.107897
"SRR13801425","SRR13801425","X1351_1887","CAD_ANGE_10",10,"CAD","CAD_ANGE","CAD.10","ANGE","ANGE_10","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13800996","SRR13800996","X1351_1888","CAD_ANGE_11",11,"CAD","CAD_ANGE","CAD.11","ANGE","ANGE_11","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13800985","SRR13800985","X1351_1889","CAD_ANGE_12",12,"CAD","CAD_ANGE","CAD.12","ANGE","ANGE_12","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801436","SRR13801436","X1351_1878","CAD_ANGE_1",1,"CAD","CAD_ANGE","CAD.1","ANGE","ANGE_1","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801262","SRR13801262","X1351_1879","CAD_ANGE_2",2,"CAD","CAD_ANGE","CAD.2","ANGE","ANGE_2","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801251","SRR13801251","X1351_1880","CAD_ANGE_3",3,"CAD","CAD_ANGE","CAD.3","ANGE","ANGE_3","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801085","SRR13801085","X1351_1882","CAD_ANGE_5",5,"CAD","CAD_ANGE","CAD.5","ANGE","ANGE_5","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801515","SRR13801515","X1351_1883","CAD_ANGE_6",6,"CAD","CAD_ANGE","CAD.6","ANGE","ANGE_6","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801504","SRR13801504","X1351_1884","CAD_ANGE_7",7,"CAD","CAD_ANGE","CAD.7","ANGE","ANGE_7","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801052","SRR13801052","X1351_1885","CAD_ANGE_8",8,"CAD","CAD_ANGE","CAD.8","ANGE","ANGE_8","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801041","SRR13801041","X1351_1886","CAD_ANGE_9",9,"CAD","CAD_ANGE","CAD.9","ANGE","ANGE_9","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.829066861,0.206175336,17.09331389,7.75,0.196402699,1.031583506,0.408678403,8.050799553,2.625,106.9871289,1344.76134
"SRR13801476","SRR13801476","X1351_1375","CAD_BOGR_7",7,"CAD","CAD_BOGR","CAD.7","BOGR","BOGR_7","no","CAD",NA,NA,"7/6/15",33.3087,-97.60635,351.1,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.942077084,0.061484264,5.79229165,7.95,0.18447538,0.908128292,0.359769633,3.862322928,3.8,99.75666618,1523.553027
"SRR13801030","SRR13801030","X1351_1710","CAD_BUDA_10",10,"CAD","CAD_BUDA","CAD.10","BUDA","BUDA_10","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801029","SRR13801029","X1351_1711","CAD_BUDA_11",11,"CAD","CAD_BUDA","CAD.11","BUDA","BUDA_11","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801028","SRR13801028","X1351_1712","CAD_BUDA_12",12,"CAD","CAD_BUDA","CAD.12","BUDA","BUDA_12","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801031","SRR13801031","X1351_1701","CAD_BUDA_1",1,"CAD","CAD_BUDA","CAD.1","BUDA","BUDA_1","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801027","SRR13801027","X1351_1702","CAD_BUDA_2",2,"CAD","CAD_BUDA","CAD.2","BUDA","BUDA_2","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801026","SRR13801026","X1351_1703","CAD_BUDA_3",3,"CAD","CAD_BUDA","CAD.3","BUDA","BUDA_3","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801025","SRR13801025","X1351_1704","CAD_BUDA_4",4,"CAD","CAD_BUDA","CAD.4","BUDA","BUDA_4","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801024","SRR13801024","X1351_1705","CAD_BUDA_5",5,"CAD","CAD_BUDA","CAD.5","BUDA","BUDA_5","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801021","SRR13801021","X1351_1707","CAD_BUDA_7",7,"CAD","CAD_BUDA","CAD.7","BUDA","BUDA_7","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801020","SRR13801020","X1351_1708","CAD_BUDA_8",8,"CAD","CAD_BUDA","CAD.8","BUDA","BUDA_8","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801019","SRR13801019","X1351_1709","CAD_BUDA_9",9,"CAD","CAD_BUDA","CAD.9","BUDA","BUDA_9","no","CAD",NA,NA,"7/5/15",33.308617,-97.605317,334.7,"mixed grass","Middle","South Central",186,2605.972222,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.933307234,0.071458533,6.669276558,8.09,0.181845526,0.923273231,0.365769545,4.758165998,3.416666667,125.6771172,2000.667691
"SRR13801016","SRR13801016","X1351_1876","CAD_SCSC_11",11,"CAD","CAD_SCSC","CAD.11","SCSC","SCSC_11","no","CAD",NA,NA,"7/6/15",33.307867,-97.6054167,339.2,"mixed grass","Middle","South Central",187,2634.833333,5589.444444,5360.961667,5463.05,731.2599944,800.9166695,1226.460007,0.83956915,0.191087119,16.04308501,7.5,0.204947259,1.025896382,0.406425357,7.442979996,1.708333333,138.0767887,1260.15015
