"","X1351_1662","X1351_1663","X1351_1664","X1351_1653","X1351_1654","X1351_1655","X1351_1656","X1351_1657","X1351_1658","X1351_1659","X1351_1660","X1351_1661","X1351_1911","X1351_1912","X1351_1913","X1351_1902","X1351_1904","X1351_1905","X1351_1906","X1351_1907","X1351_1908","X1351_1909","X1351_1910","X1351_1722","X1351_1723","X1351_1724","X1351_1713","X1351_1714","X1351_1716","X1351_1717","X1351_1718","X1351_1719","X1351_1720","X1351_1721","X1351_1487","X1351_1488","X1351_1489","X1351_1478","X1351_1479","X1351_1480","X1351_1481","X1351_1482","X1351_1483","X1351_1484","X1351_1485","X1351_1486","X1351_1499","X1351_1501","X1351_1490","X1351_1491","X1351_1492","X1351_1493","X1351_1494","X1351_1495","X1351_1496","X1351_1497","X1351_1498","X1351_1748","X1351_1749","X1351_1750","X1351_1739","X1351_1740","X1351_1741","X1351_1742","X1351_1743","X1351_1744","X1351_1745","X1351_1746","X1351_1747","X1351_1609","X1351_1610","X1351_1611","X1351_1600","X1351_1602","X1351_1604","X1351_1605","X1351_1606","X1351_1607"
"OTU7235",0.00011102475852115,0.000110938540048813,0.000110864745011086,0,0,0,0.000110901630253965,0.000111086425238836,0,0.000110766504209127,0,0,0,0.000110680686220255,0.000110901630253965,0,0.000110864745011086,0.000221877080097626,0,0.000110827884295689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221704910763773,0,0,0,0,0,0,0,0,0,0.000110692937790569,0.000221631205673759,0,0,0,0.000110901630253965,0,0,0.000221631205673759,0,0,0,0,0.000111000111000111,0,0.000221926320461607,0,0,0.000111049416990561,0.000664451827242525,0.000110950848773993,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU920",0.00011102475852115,0.000110938540048813,0,0,0,0.000110827884295689,0.000110901630253965,0,0,0.000110766504209127,0.000221680336954112,0.000111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0,0,0,0,0,0.000221606648199446,0,0.000221459417561732,0,0.000443262411347518,0,0.000110987791342952,0,0,0.000110717449069973,0.000110864745011086,0.000221631205673759,0,0.000110778774786751,0.000110864745011086,0,0,0,0,0,0,0.000222098833981122,0,0,0,0,0,0.000221803260507929,0.000110717449069973,0.000110692937790569,0,0,0,0.000110656191213898,0,0.000221533008418254,0
"OTU2149",0.000333074275563451,0.000221877080097626,0,0.000110778774786751,0,0.000110827884295689,0,0.000111086425238836,0.000110901630253965,0.000332299512627382,0.00055420084238528,0.000222222222222222,0,0,0.000110901630253965,0,0,0.000110938540048813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0.000110766504209127,0,0.000221606648199446,0,0,0,0.000221606648199446,0,0.000110729708780866,0,0.000443262411347518,0.000221557549573502,0,0,0,0,0.000110864745011086,0,0,0,0.000110864745011086,0.000110963160230803,0.000111000111000111,0.000221336874723329,0.000443852640923213,0.000444296345662557,0.000333407423871972,0.000333148250971682,0.000664451827242525,0.000110950848773993,0.000110864745011086,0.000111111111111111,0.000221803260507929,0.000110901630253965,0.000110717449069973,0,0,0,0,0,0,0,0.000221385875581138
"OTU43773",0.00011102475852115,0.000221877080097626,0,0.000110778774786751,0,0,0.000332704890761894,0,0,0.000221533008418254,0,0.000111111111111111,0,0.000221361372440509,0.000110901630253965,0,0,0,0,0,0,0.000110778774786751,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221606648199446,0.000110692937790569,0.000110889332446219,0,0.000110803324099723,0.000332115576220525,0,0,0.000110815602836879,0,0,0,0,0,0,0.000110815602836879,0,0,0,0,0,0,0.000554815801154017,0.000333222259246918,0.000111135807957324,0.000555247084952804,0.000664451827242525,0.000221901697547986,0.000443458980044346,0.000111111111111111,0,0.000887213042031718,0.00033215234720992,0.000221385875581138,0.000221141088014153,0,0.000221287895552113,0,0,0,0
"OTU18127",0.00011102475852115,0,0,0.000110778774786751,0.000110901630253965,0,0,0,0.000221803260507929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333518621456365,0,0,0.000111037086386853,0,0,0,0.000110766504209127,0,0,0,0,0,0,0,0,0,0,0.000110778774786751,0,0,0.000110901630253965,0.000110717449069973,0.000110864745011086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110570544007077,0.00011059500110595,0,0,0,0,0
"OTU1951",0.00011102475852115,0,0,0,0,0.000110827884295689,0.000110901630253965,0,0,0,0,0.000111111111111111,0,0,0,0,0.000110864745011086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0,0,0,0.000110889332446219,0,0.000110803324099723,0,0.000110729708780866,0,0,0,0,0,0.000110901630253965,0.000110717449069973,0.000221729490022173,0.000110815602836879,0,0,0,0.00033288948069241,0.000111000111000111,0,0,0,0,0,0,0,0,0,0,0.000110901630253965,0,0,0,0.00011059500110595,0,0,0,0.000110766504209127,0
"OTU5636",0,0,0.000110864745011086,0,0.000110901630253965,0,0.000221803260507929,0.000111086425238836,0,0.000221533008418254,0,0,0,0,0,0,0,0,0,0,0,0.000110778774786751,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0,0,0,0,0.000221533008418254,0.000332409972299169,0,0,0,0.000110815602836879,0,0,0,0,0.000110717449069973,0,0.000221631205673759,0,0,0,0,0,0,0,0,0,0.000111049416990561,0.000110741971207087,0,0.000332594235033259,0.000111111111111111,0,0,0,0,0,0,0,0,0,0.000110766504209127,0
"OTU2869",0.000888198068169202,0.000110938540048813,0.000110864745011086,0.000110778774786751,0.000443606521015859,0.000110827884295689,0,0,0,0,0,0,0.000110827884295689,0,0,0.000110680686220255,0.000110864745011086,0.000110938540048813,0,0,0.000333074275563451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0.000221533008418254,0.000221901697547986,0.000775623268698061,0,0,0.000221533008418254,0,0,0.000110729708780866,0.000332078813371707,0.000664893617021277,0,0,0,0.000110901630253965,0,0.000221729490022173,0.000110815602836879,0,0,0,0,0.000111000111000111,0.000110668437361664,0.000110963160230803,0,0,0.000222098833981122,0,0.000110950848773993,0.000221729490022173,0.000111111111111111,0,0.000221803260507929,0,0,0,0,0,0.000331968573641695,0,0.000110766504209127,0
"OTU70491",0.00011102475852115,0,0.000110864745011086,0,0.000110901630253965,0,0,0.000111086425238836,0.000110901630253965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0.000110950848773993,0,0,0,0,0.000110803324099723,0,0,0,0,0.000110778774786751,0,0,0,0,0,0,0,0,0.000110864745011086,0,0.000111000111000111,0.000110668437361664,0,0.000111074086415639,0,0,0.000110741971207087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5617",0.00011102475852115,0,0,0,0,0.000110827884295689,0,0,0,0,0.000110840168477056,0,0,0,0.000221803260507929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221704910763773,0,0.000221901697547986,0.000110803324099723,0,0,0.000221533008418254,0.000110803324099723,0.000221410384147017,0.000110729708780866,0.000221385875581138,0.000332446808510638,0,0,0,0,0,0.000110864745011086,0,0,0,0,0.000110963160230803,0.000111000111000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110656191213898,0,0,0
"OTU4120",0,0,0,0,0,0,0,0,0.000221803260507929,0.000110766504209127,0.000110840168477056,0,0.000110827884295689,0,0.000110901630253965,0,0.000221729490022173,0,0,0,0,0.000110778774786751,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0.000221533008418254,0,0,0,0.000221778664892437,0,0,0.000110705192073508,0.000110729708780866,0,0,0,0.000110987791342952,0,0.000110901630253965,0.000221434898139947,0.000110864745011086,0.000332446808510638,0.00011102475852115,0.000332336324360253,0,0,0,0.000110668437361664,0.000110963160230803,0.000111074086415639,0.000222271615914648,0,0,0.000332852546321979,0.000221729490022173,0,0.000110901630253965,0,0,0,0,0.00011059500110595,0.000110643947776057,0,0.00011075423634954,0,0
"OTU5717",0.0002220495170423,0,0.000110864745011086,0,0,0,0,0,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110889332446219,0,0,0.000110705192073508,0,0,0.000110815602836879,0,0,0,0,0.00033215234720992,0,0,0.00011102475852115,0.000110778774786751,0,0.000110963160230803,0,0,0.000221926320461607,0,0,0.000111049416990561,0.000110741971207087,0,0,0.000111111111111111,0,0,0,0.000110692937790569,0,0,0,0.000110656191213898,0,0,0.000110692937790569
"OTU4488",0.000777173309648051,0,0.000110864745011086,0.000443115099147003,0,0.000110827884295689,0.000221803260507929,0,0.000887213042031718,0,0.000221680336954112,0,0,0,0,0,0.000110864745011086,0,0,0.00144076249584395,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0.000443409821527547,0.000332299512627382,0.000776655941417952,0.000110803324099723,0,0,0.000221533008418254,0.000443213296398892,0.000110705192073508,0.000221459417561732,0.000553464688952845,0.000221631205673759,0,0.000110987791342952,0,0.000110901630253965,0.000110717449069973,0,0.000221631205673759,0,0,0,0.00133155792276964,0.000999000999000999,0.000221336874723329,0.000554815801154017,0.00133288903698767,0.000444543231829295,0.00122154358689617,0.000664451827242525,0.000776655941417952,0.000443458980044346,0.000444444444444444,0,0.000332704890761894,0,0,0.000110570544007077,0,0.000110643947776057,0,0,0,0
"OTU61163",0.00011102475852115,0,0.000221729490022173,0.000110778774786751,0,0.000221655768591378,0,0.000555432126194179,0,0,0.000775881179339393,0,0.000221655768591378,0,0,0,0,0,0,0,0.00011102475852115,0,0,0,0,0,0.000110680686220255,0.000111061750333185,0,0.000111074086415639,0.000110889332446219,0,0,0,0.000554262276909434,0.000221533008418254,0.000221901697547986,0.000221606648199446,0.000553464688952845,0,0.000221533008418254,0.00121883656509695,0.000332115576220525,0.000221459417561732,0,0.000332446808510638,0,0,0.000110791048083315,0,0,0,0.000110815602836879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011075423634954,0,0.000110692937790569
"OTU611",0,0,0,0,0,0.000110827884295689,0.000110901630253965,0.000111086425238836,0,0,0,0,0.000110827884295689,0,0,0.000110680686220255,0,0.000221877080097626,0.000332520505431168,0.000110827884295689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110766504209127,0,0.000110803324099723,0.000221385875581138,0,0.000110766504209127,0.000110803324099723,0,0,0,0.000110815602836879,0,0.000221975582685905,0,0,0,0,0.000110815602836879,0,0.000332336324360253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066386368665634,0,0.00011075423634954,0,0.000221385875581138
"OTU251",0,0,0.000110864745011086,0.000110778774786751,0,0,0.000110901630253965,0.000111086425238836,0,0,0,0.000111111111111111,0,0,0.000110901630253965,0,0,0,0,0,0,0,0,0,0,0.000111408199643494,0.000110680686220255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110987791342952,0,0,0,0,0,0,0,0,0,0,0,0.000110963160230803,0.000222148172831278,0,0,0,0.000443803395095972,0,0,0.000110901630253965,0,0,0,0,0,0,0,0,0,0
"OTU2100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444148345547413,0.000221901697547986,0.000668449197860963,0,0.000111061750333185,0.000222345747637576,0.000111074086415639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110815602836879,0,0.000221975582685905,0,0,0.000110717449069973,0.000110864745011086,0,0.00011102475852115,0,0.000110864745011086,0.000110963160230803,0,0,0,0,0,0,0,0,0.000110864745011086,0,0,0,0,0,0.000110570544007077,0.00011059500110595,0,0,0.00011075423634954,0,0.000110692937790569
"OTU4190",0.00011102475852115,0,0,0,0,0.000110827884295689,0.000221803260507929,0,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0.000110778774786751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0.000110803324099723,0,0,0,0,0,0.000110729708780866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111000111000111,0,0.000110963160230803,0,0.000111135807957324,0.000222098833981122,0,0,0,0,0.000221803260507929,0,0,0,0,0,0,0,0,0,0
"OTU4881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111037086386853,0,0.000111408199643494,0,0,0,0.000111074086415639,0,0,0.000110938540048813,0,0,0,0.000221901697547986,0.000110803324099723,0,0.000110889332446219,0,0,0,0.000110729708780866,0.000110692937790569,0,0,0,0,0,0,0.000221729490022173,0.000110815602836879,0,0,0.000110864745011086,0.000221926320461607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011059500110595,0,0.000110656191213898,0.00011075423634954,0,0.000332078813371707
"OTU9641",0.0002220495170423,0.000110938540048813,0.000110864745011086,0.000110778774786751,0,0.000110827884295689,0,0,0,0,0.000221680336954112,0.000111111111111111,0,0,0,0,0,0,0,0,0.00011102475852115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221901697547986,0,0,0.000110889332446219,0,0.000110803324099723,0,0,0,0.000110815602836879,0.000110778774786751,0,0.000110791048083315,0,0.000110717449069973,0.000110864745011086,0,0.00011102475852115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002211900022119,0.000110643947776057,0,0,0,0.000110692937790569
"OTU3721",0,0,0.000110864745011086,0,0,0.000110827884295689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221901697547986,0,0,0,0,0,0,0,0.000110692937790569,0.000110815602836879,0,0,0,0.000221803260507929,0,0.000110864745011086,0,0,0.000110778774786751,0.000110864745011086,0,0,0,0,0,0,0,0,0.000110950848773993,0,0.000111111111111111,0.000110901630253965,0,0,0,0,0,0,0,0,0,0
"OTU2392",0,0,0.000110864745011086,0,0,0,0,0,0.000110901630253965,0,0,0,0,0,0,0,0,0,0,0,0.00011102475852115,0,0,0,0,0,0,0,0,0,0,0.00033311125916056,0,0,0,0,0,0,0,0,0,0.000110803324099723,0.000110705192073508,0.000110729708780866,0,0.000110815602836879,0.000110778774786751,0.000332963374028857,0,0.000110901630253965,0,0.000221729490022173,0.000110815602836879,0,0.000332336324360253,0,0,0,0,0.000110963160230803,0.000111074086415639,0.000222271615914648,0.000222098833981122,0.000221483942414175,0,0,0,0,0,0,0,0,0,0,0,0.00011075423634954,0.000221533008418254,0.000110692937790569
"OTU4513",0.000333074275563451,0,0,0,0.000110901630253965,0,0.000110901630253965,0,0,0.000221533008418254,0,0.000333333333333333,0,0.000221361372440509,0.000110901630253965,0,0,0.000110938540048813,0,0.000110827884295689,0,0,0,0.000111037086386853,0.00266282037057583,0.00100267379679144,0.000885445489762036,0.000555308751665926,0.000444691495275153,0.000111074086415639,0.00155245065424706,0.00033311125916056,0,0,0.000221704910763773,0.000110766504209127,0,0.000110803324099723,0,0.000110889332446219,0,0.000221606648199446,0.000110705192073508,0,0.000332078813371707,0,0.000443115099147003,0.000110987791342952,0.000332373144249945,0,0.00033215234720992,0.000554323725055432,0.000110815602836879,0.000444099034084601,0.000110778774786751,0.000443458980044346,0.00033288948069241,0,0,0,0.000111074086415639,0,0,0,0.000110950848773993,0,0,0,0.000110901630253965,0.000110717449069973,0.000110692937790569,0,0.0002211900022119,0,0.000110656191213898,0.00011075423634954,0.000110766504209127,0
"OTU2405",0.00011102475852115,0.000110938540048813,0,0,0,0,0.000110901630253965,0,0,0,0,0,0,0.000110680686220255,0.000110901630253965,0.000110680686220255,0.000110864745011086,0.000110938540048813,0.000110840168477056,0,0,0.000221557549573502,0.000332520505431168,0,0,0,0,0,0,0,0,0,0,0,0,0.000110766504209127,0.000110950848773993,0,0.000110692937790569,0,0.000110766504209127,0,0.000221410384147017,0,0.000110692937790569,0.000221631205673759,0,0.000221975582685905,0.000110791048083315,0,0.000221434898139947,0.000221729490022173,0,0.000555123792605751,0.000443115099147003,0.000110864745011086,0.00066577896138482,0,0,0,0.000111074086415639,0.000111135807957324,0.000111049416990561,0,0.000110950848773993,0,0,0.000110901630253965,0,0,0.000110692937790569,0,0.00033178500331785,0.000442575791104227,0.000110656191213898,0.000332262709048621,0.000443066016836509,0.000221385875581138
"OTU5755",0.00011102475852115,0.000110938540048813,0.000110864745011086,0,0,0.000110827884295689,0.000110901630253965,0,0.000110901630253965,0.000110766504209127,0,0,0,0,0,0,0,0,0,0,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0.000221533008418254,0,0,0,0,0,0,0.000110705192073508,0,0,0,0,0,0,0,0,0,0.000110815602836879,0,0,0,0,0,0,0,0,0.000333407423871972,0,0,0,0,0,0,0.000110901630253965,0.000110717449069973,0,0,0.00011059500110595,0,0,0,0,0
"OTU8902",0.0002220495170423,0,0,0,0,0,0,0,0.000110901630253965,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0.000110950848773993,0,0,0.000110889332446219,0,0,0,0,0.000110692937790569,0,0,0.000110987791342952,0.000110791048083315,0.000110901630253965,0.000221434898139947,0.000110864745011086,0.000110815602836879,0.00011102475852115,0.000110778774786751,0,0.000221926320461607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110692937790569,0,0,0,0,0,0,0
"OTU21821",0.000333074275563451,0.000110938540048813,0.000110864745011086,0,0,0,0,0.000111086425238836,0,0,0.000110840168477056,0.000111111111111111,0,0,0.000110901630253965,0,0.000110864745011086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0.000110803324099723,0,0,0.000110766504209127,0.000221606648199446,0.000774936344514558,0.000110729708780866,0.000110692937790569,0,0.000110778774786751,0,0,0.000110901630253965,0,0,0.000110815602836879,0,0.000110778774786751,0,0,0.000555000555000555,0.000221336874723329,0.000110963160230803,0.000111074086415639,0,0.000666296501943365,0.000221483942414175,0,0,0.000222222222222222,0,0.000110901630253965,0.000110717449069973,0,0.000110570544007077,0.0002211900022119,0,0,0,0,0
"OTU69763",0.0002220495170423,0.000110938540048813,0.000110864745011086,0,0.000221803260507929,0.000110827884295689,0.000110901630253965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111037086386853,0,0,0,0,0,0.000111074086415639,0.000221778664892437,0.000111037086386853,0,0.000110901630253965,0,0,0,0.000221606648199446,0.000110692937790569,0.000221778664892437,0.000110766504209127,0,0.000442820768294033,0,0.000110692937790569,0.000554078014184397,0.000443115099147003,0.000332963374028857,0.000332373144249945,0,0,0.000110864745011086,0.000332446808510638,0,0.000443115099147003,0.000221729490022173,0.00033288948069241,0,0,0,0,0,0,0,0,0,0,0,0,0.000221434898139947,0,0,0,0,0.000110656191213898,0.000221508472699081,0.000221533008418254,0
"OTU5241",0.000333074275563451,0.000221877080097626,0.000332594235033259,0,0,0.000332483652887066,0.000110901630253965,0,0.000110901630253965,0,0,0,0,0,0,0,0.000110864745011086,0.000110938540048813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066511473229132,0,0.000221901697547986,0.000110803324099723,0.000110692937790569,0.000110889332446219,0.000110766504209127,0.000554016620498615,0.000221410384147017,0,0.000110692937790569,0.000443262411347518,0,0.000665926748057714,0,0,0.000221434898139947,0.000110864745011086,0.000110815602836879,0,0,0.000443458980044346,0.000110963160230803,0.000111000111000111,0,0,0.000222148172831278,0,0.000222098833981122,0,0.000110950848773993,0,0.000111111111111111,0,0,0,0,0,0,0.000110643947776057,0.000110656191213898,0,0,0
"OTU2476",0.0002220495170423,0,0,0,0,0,0,0,0.000110901630253965,0,0.000110840168477056,0,0,0,0.000221803260507929,0,0.000221729490022173,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110889332446219,0,0,0,0,0.000110692937790569,0,0,0.000443951165371809,0,0.000110901630253965,0,0.000110864745011086,0.000110815602836879,0,0.000664672648720505,0,0.000110963160230803,0,0,0,0,0,0,0,0,0.000110864745011086,0,0,0,0,0,0,0,0.000221287895552113,0.000110656191213898,0,0.000110766504209127,0
"OTU12502",0,0.000110938540048813,0,0,0,0,0,0,0,0.000110766504209127,0,0,0,0,0,0,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110803324099723,0,0,0,0,0,0,0.000110692937790569,0.000110815602836879,0,0,0,0.000110901630253965,0,0,0,0,0,0,0.000110963160230803,0,0,0,0,0,0,0.000221483942414175,0,0,0,0,0,0,0.000110692937790569,0,0,0.000110643947776057,0,0,0,0
"OTU5992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0.000111408199643494,0.000110680686220255,0,0.000333518621456365,0,0.000110889332446219,0,0.000110938540048813,0,0,0,0,0,0,0,0,0,0,0,0.000110692937790569,0,0,0,0.000110791048083315,0,0,0,0.000110815602836879,0,0,0,0,0,0.000110668437361664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110643947776057,0,0.00011075423634954,0,0
"OTU6991",0.00011102475852115,0,0.000110864745011086,0.000110778774786751,0.000110901630253965,0,0,0,0,0,0.000110840168477056,0,0,0,0,0,0.000110864745011086,0.000110938540048813,0,0.000221655768591378,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110803324099723,0,0,0,0,0,0.000110987791342952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111135807957324,0.000111049416990561,0.000110741971207087,0.000110950848773993,0,0,0,0,0,0.000110692937790569,0,0,0,0,0,0,0
"OTU43564",0.00011102475852115,0,0,0,0,0,0.000110901630253965,0,0,0.000110766504209127,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0,0,0,0,0,0,0,0,0,0,0,0.000110791048083315,0,0,0.000221729490022173,0.000110815602836879,0.0002220495170423,0.000221557549573502,0.000110864745011086,0.00033288948069241,0,0,0,0,0,0,0,0.000110950848773993,0,0,0,0.000110901630253965,0,0,0,0,0,0,0,0,0
"OTU1023",0,0,0.000110864745011086,0.000110778774786751,0,0,0,0,0.000110901630253965,0,0.000110840168477056,0,0.000110827884295689,0,0,0.000110680686220255,0.000110864745011086,0,0,0.000221655768591378,0,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110803324099723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110864745011086,0,0,0,0,0,0,0,0,0,0.00011075423634954,0,0
"OTU2335",0.00011102475852115,0,0.000110864745011086,0,0,0,0,0,0.000221803260507929,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221533008418254,0.000110950848773993,0,0.000332078813371707,0.000665335994677312,0.000110766504209127,0.000110803324099723,0.000442820768294033,0.000110729708780866,0.000110692937790569,0.000221631205673759,0.000332336324360253,0.000221975582685905,0,0.000221803260507929,0.000110717449069973,0.000554323725055432,0.000664893617021277,0,0,0.000221729490022173,0.000110963160230803,0,0,0,0.000222148172831278,0.000111135807957324,0,0,0.000110950848773993,0.000554323725055432,0.000111111111111111,0.000110901630253965,0,0,0,0,0.00011059500110595,0.000885151582208453,0,0,0,0
