"","SRR13801399","SRR13801186","SRR13801171","SRR13801400","SRR13801525","SRR13800997","SRR13801246","SRR13801475","SRR13801023","SRR13801012","SRR13801398","SRR13801333","SRR13801401","SRR13801146","SRR13801135","SRR13801476","SRR13801546","SRR13801070","SRR13801059","SRR13801489","SRR13801478","SRR13801335","SRR13801330","SRR13801329","SRR13801328","SRR13801279","SRR13801282","SRR13801277","SRR13801276","SRR13801274","SRR13801207","SRR13801203","SRR13801202","SRR13801200","SRR13801105","SRR13800981","SRR13800980","SRR13800978","SRR13800935","SRR13800930","SRR13800929","SRR13800928","SRR13800926","SRR13800925","SRR13800924","SRR13801157","SRR13801153","SRR13801152","SRR13801373","SRR13801372","SRR13801371","SRR13801410","SRR13801409","SRR13801408","SRR13801407","SRR13800940","SRR13800938","SRR13800937","SRR13800936","SRR13801151","SRR13801150","SRR13801149","SRR13801147","SRR13801145","SRR13801375","SRR13801445","SRR13801444","SRR13801441","SRR13801499","SRR13801054","SRR13801053","SRR13801051","SRR13801050","SRR13801049","SRR13801549"
"OTU1273",0.0117716885943219,0,0.0157301147605857,0.0010878164556962,0.000296823983377857,0,0,0.0973582665479371,0,0.0160300811399169,0.0114726535456434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276237623762376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3638",0.00197843505786923,0.00791139240506329,0.00138504155124654,0.00306566455696203,0.000395765311170476,0.00474824413888614,9.89805008413343e-05,0.00187988522805976,0.0181026807795034,0.00207797348110034,0.000395608742953219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1894",0.0356118310416461,0.00464794303797468,0,0,9.8941327792619e-05,0,0.000890824507572008,0,0,0.000296853354442905,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197843505786923,0,0,0,0,0
"OTU67",0.00375902660995153,0.00257120253164557,0.000296794618124258,0.0106803797468354,0.00860789551795785,0.00662775744386191,0.00237553202019202,0.00534283170080142,0.014145810663765,0.00504650702552939,0.0143408169320542,0.00336367233874159,0,0,0.00375791139240506,0.000692178384257886,0,0.000197784810126582,0,0.000395765311170476,0.000395687011573845,0.0134533583935107,0.0134480371798675,0.00741693037974684,0.00820806962025316,0,0.00118623962040332,0,0,0,0,0.000395569620253165,0,9.89119683481701e-05,9.89707046714173e-05,0,0,0,0.0141472101305896,0.0202809655718243,0.00573575949367089,0.00692383778437191,0.0181944032433501,0.0153298387894372,0.0134480371798675,9.88924050632911e-05,0,0,0.000494559841740851,0.000889943636902996,0,0,0,0,0,0.000296912114014252,9.89902989507028e-05,0.000296765258680384,0,9.88924050632911e-05,0.00108760134467075,9.8960910440376e-05,0.000593824228028504,0,0,0.000197863078749505,0.0170128585558853,0.000791295746785361,0.0110770448026901,0.00217627856365615,0.00366010485705807,0.00603482390185991,0.00178076770874555,0.00276980908101692,0
"OTU6679",0.0170145414976753,0.0151305379746835,0.00385833003561535,0.0505340189873418,0.042841594934204,0.0328420219606291,0.0134613481144215,0.0278025131097259,0.0560886338905925,0.0329507223431625,0.0688359212738602,0.0223585278986941,0,0,9.88924050632911e-05,0,0.000197882655585238,0,0.000989021857383048,0.000395765311170476,9.89217528934613e-05,0.0592541299831833,0.0530999703352121,0.0340189873417722,0.0357001582278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541155520379897,0.065195884447962,0.022745253164557,0.0306627101879327,0.0629882329674676,0.054495104341806,0.0474636606348265,0,9.89315393747527e-05,0.00079160894518108,0,0.00019776525264511,0,0.00613132911392405,0.00257425742574257,0.00771131982204647,0.0133557578155916,0.0080166270783848,0.000296970896852108,0.000692452270254229,0.00178147268408551,0.000988924050632911,0.00177971129127941,0.00306778822365166,0.00326603325415677,0.00069293209265492,0,0,0,0.000890207715133531,0.0421323311245178,0.0110792363240677,0.0226530814126026,0.0278986941036803,0.00741986545310645,0.0134533583935107,0
"OTU2407",0.000494608764467306,0.0021756329113924,0,9.88924050632911e-05,0,9.89217528934613e-05,0,0,0.000197843505786923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296677215189873,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU102",0.00276980908101692,0.00187895569620253,0.000395726157499011,0.00494462025316456,0.00326506381715643,0.00217627856365615,0.000395922003365337,0.00425447709508262,0.0116727668414284,0.00336433801701959,0.0061319355157749,0.00277008310249307,0.013353115727003,0.00118682622885966,0.00899920886075949,0,0,0,0,0,0,0.00682560094964883,0.00988826263225551,0.00395569620253165,0.00356012658227848,0,0,0,0,0,0.00247328848436882,0,0.00910620607740275,0.00019782393669634,0,0.00168166979918884,0,0,0.0100910170162248,0.00949742777997626,0.00207674050632911,0.00346191889218595,0.00850390586373974,0.0062308377015132,0.00514189656877287,0.00197784810126582,0,0,0.000494559841740851,0.000791061010580441,0.00118706103472154,0,0,0,0.00445191927186387,0.00692794932699921,0.000296970896852108,0,0.00722486144101346,0.000296677215189873,0.00563575242238481,9.8960910440376e-05,0.0022763262074426,9.89902989507028e-05,0.0046465645081562,0.0189948555599525,0.00722057368941642,0.00178041543026706,0.00435169617248541,0.000296765258680384,0.00168166979918884,0.00197863078749505,0.000593589236248516,0.000692452270254229,0
"OTU75",0.00346226135127114,0,0,0,0.00138517858909667,0,9.89805008413343e-05,0,0,0.000296853354442905,0,0,0,0,0.00247231012658228,0.354593097992683,0,0.191653481012658,0.0019780437147661,0.00306718116157119,0.0206746463547334,0,0.00019776525264511,0.00870253164556962,0,0,9.88533017002768e-05,0,0,0.000890383854372774,0.00128611001187178,9.88924050632911e-05,9.89805008413343e-05,0,0,0,0,0,0,0.00296794618124258,0,0.00187932739861523,0,0,0,0.000593354430379747,0,0,0,0.00316424404232176,0,0,0,0,0,0.000395882818685669,9.89902989507028e-05,0,0,0,0,0.000296882731321128,0.000197941409342835,0,0.000494315373208107,0.000197863078749505,0,0.000890207715133531,9.89021857383048e-05,9.89217528934613e-05,0.00168166979918884,0,0,0,0.00553742707406309
"OTU5",0.0172123850034623,0.0129549050632911,0.00603482390185991,0.0542919303797468,0.03324428613832,0.0124641408645761,0.0103929525883401,0.0337389927772831,0.0784449500445148,0.0719374628933307,0.0636930076154683,0.0134546893549664,0,0.00128572841459796,0.000395569620253165,0,0.000197882655585238,0.00880142405063291,9.89021857383048e-05,0.000494706638963095,0,0.0453061628252053,0.0548798576090181,0.022745253164557,0.0201740506329114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363078749505342,0.0692520775623269,0.0139438291139241,0.0196834817012859,0.0733709087313359,0.0425279398674711,0.0390586373974093,0.00346123417721519,9.89315393747527e-05,0.000989511181476351,0.00108803165182987,0.00187876990012855,0.00138490454050846,0,0,0,9.89315393747527e-05,9.89707046714173e-05,9.89902989507028e-05,0,9.89707046714173e-05,0,0,0,0.0307798891528108,0.00207879627796476,0,0,9.89119683481701e-05,0,0.0221540896053803,0.00553961816203383,0.015233949945593,0.0106846062524733,0.00474871388998813,0.00504500939756653,0
"OTU12",0.0170145414976753,0.0130537974683544,0.00296794618124258,0.044501582278481,0.0361135846443059,0.0247304382233653,0.0123725626051668,0.019986148214109,0.0486695024235829,0.0283000197902236,0.0506379190980121,0.016818361693708,0.0400593471810089,0.00168133715755118,0.0021756329113924,0.0250173044596064,0,0,0.00464840272970033,0,0,0.0521317637748541,0.0510234351824384,0.0295688291139241,0.0307555379746835,9.89119683481701e-05,0.242586002372479,0,9.89021857383048e-05,0,0,0,0.00386023953281204,0,0,0,0,0.000296618548546569,0.0496636327661258,0.0556984566679858,0.0184928797468354,0.027893175074184,0.055572035993276,0.0527148649985165,0.0420251161870859,0,0,9.89511181476351e-05,9.89119683481701e-05,0,0,0,0,0.000197726149283243,0.00643055005935892,0.00524544734758511,0.000989902989507028,0.00494608764467306,0.000791765637371338,0.00178006329113924,0,0.00286986640277091,0,0,0,0,0,0.00019782393669634,0.0345168628226684,0.0104857058067069,0.0194875853200119,0.0258211317768104,0.00781559161060546,0.0118706103472154,0
"OTU7",0.0127609061232565,0.00880142405063291,0.00603482390185991,0.0376780063291139,0.0265162758484219,0.0166188544861015,0.0412748688508364,0.02077767883645,0.0486695024235829,0.0655056402137344,0.0506379190980121,0.0118717847249703,0,0.00019780437147661,0,0,0,9.88924050632911e-05,9.89021857383048e-05,0.000692589294548333,0,0.0419428232268276,0.0436072382082468,0.0264042721518987,0.0264042721518987,9.89119683481701e-05,0.000197706603400554,0,0,0,0.000197863078749505,0,0,0,9.89707046714173e-05,0.000395687011573845,9.8872849515523e-05,0,0.0455085081123862,0.0518401266323704,0.0147349683544304,0.0207715133531157,0.0575496885197271,0.0450004945109287,0.0367843369919905,9.88924050632911e-05,9.89315393747527e-05,0.000692657827033445,0.00019782393669634,0.000395530505290221,0,0.00118670886075949,0.0574257425742574,0.00266930301532378,0.0115749901068461,0.000494853523357086,9.89902989507028e-05,0,9.89707046714173e-05,9.88924050632911e-05,0.0115681233933162,9.8960910440376e-05,0.0119754552652415,0,0.00237271379139891,0.00603482390185991,0.00989119683481701,0.00623145400593472,0.0353080803085748,0.0074191314670096,0.013947967157978,0.0186980609418283,0.00524337158686189,0.00900187951330498,0
"OTU749",0.000395687011573845,0.000197784810126582,0,0.00168117088607595,0.000692589294548333,0.000494608764467306,0.000197961001682669,0.000890471950133571,0.00138490454050846,0.000989511181476351,0.00148353278607457,0.000395726157499011,0,0,0,0.00019776525264511,0,0,0,0,0,0.00138490454050846,0.00247206565806388,0.00148338607594937,0.00089003164556962,0,0,0,0,0,0.000296794618124258,0,0.147579926754429,0,0,0,0,0,0.00237435694499406,0.00197863078749505,0.000494462025316456,0.000890207715133531,0.00257094828438643,0.00158243497181288,0.000988826263225551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0.00118682622885966,0.000395687011573845,0.000296765258680384,0.000989315393747527,0,0.000197843505786923,0
"OTU5362",0.00118706103472154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2",0.00118706103472154,0.000494462025316456,0,0.0010878164556962,9.8941327792619e-05,0.000692452270254229,0.000197961001682669,0,0.000296765258680384,0.00039580447259054,0.000494510928691524,0.000692520775623269,0,0.000395608742953219,0,0,0.00138517858909667,0.000494462025316456,0,9.8941327792619e-05,0,0.000395687011573845,0.000791061010580441,0.000494462025316456,0.0010878164556962,0.00019782393669634,0.00029655990510083,0,0.000296706557214914,0.000593589236248516,0,0.000494462025316456,0.00069286350588934,0.00039564787339268,0.000692794932699921,0.00079137402314769,0.000494364247577615,0.00148309274273285,0.000197863078749505,0.000494657696873763,0.000791139240506329,0.000791295746785361,0.000593295757935331,0.000494510928691524,0.00128547414219322,0.000197784810126582,9.89315393747527e-05,0,9.89119683481701e-05,0,9.89217528934613e-05,0.000395569620253165,0,0.000692041522491349,0.000296794618124258,9.89707046714173e-05,0.000197980597901406,0,0.000296912114014252,0.000395569620253165,0.000593237097093138,0,9.89707046714173e-05,0,0.000395452298566485,0,0,0.00039564787339268,0.00138463060033627,0.000692452270254229,0.00108813928182807,0.000791452314998021,0.000197863078749505,0.000989217528934613,0.000395530505290221
"OTU877",0.00336333959837768,0,0,0,0.0036608291283269,0,0,0,0,0.00692657827033445,9.89021857383048e-05,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0,0,0,0.0538857029859601,0.000296794618124258,0,0.000395569620253165,0,9.88826263225551e-05,0,0,0.000197784810126582,0,0,0,0,0,0,0.000792079207920792,0,0,0,0,0,0,0,0,0,0,0,0,0.000395726157499011,0.000494559841740851,0.000593471810089021,0,0,0,0.00148397309062129,0,0.00415471362152537,0
"OTU12011",0.000593530517360768,0.000197784810126582,0,0.000197784810126582,0.000494706638963095,0.000395687011573845,0.000197961001682669,0.000296823983377857,0.000296765258680384,0.00039580447259054,0.000989021857383048,0.000494657696873763,9.89119683481701e-05,0,0,0.000593295757935331,0.00217670921143762,0.00128560126582278,0,0,0.000494608764467306,0.00138490454050846,0.000692178384257886,0.000988924050632911,0.000494462025316456,0.00138476755687438,0.000494266508501384,9.88630746416214e-05,0.0019780437147661,0.00118717847249703,0,0,0.000494902504206671,0.000890207715133531,0,0,0,0,0.000197863078749505,0.000593589236248516,0.00138449367088608,0.000593471810089021,0.000395530505290221,0.00187914152902779,0.00217541777909621,0.000197784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0.000197843505786923,0.000296765258680384,9.89315393747527e-05,0,0,0
"OTU2034",0.00148382629340192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296677215189873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU24",0.00247304382233653,0.0021756329113924,0.000296794618124258,0.00791139240506329,0.00445235975066785,0.00366010485705807,0.00158368801346135,0.00326506381715643,0.0091997230190919,0.00504650702552939,0.0113737513599051,0.00296794618124258,0,0,0.000197784810126582,0,0.00969625012367666,0,0,0,0.354634484123059,0.0091997230190919,0.00899831899535252,0.00573575949367089,0.00543908227848101,0,0,0.00405338606030648,9.89021857383048e-05,0.0016818361693708,0,0,0,0,0.00188044338875693,0.336333959837768,0.258453628633577,0,0.0131578947368421,0.0155322516818362,0.0173061708860759,0.00405539070227498,0.0161178680905765,0.0137474038176244,0.0237318303174132,0,0,0,0,0,0,0,0,0,0,0,9.89902989507028e-05,0,0,0.000296677215189873,0.000197745699031046,0,0,0,0,0,0,0,0.00672534863020473,0.00118706103472154,0.00247304382233653,0.00415512465373961,0.000890383854372774,0.00148382629340192,0
"OTU187",0.00405579186863191,0.00237341772151899,0.000494657696873763,0.010185917721519,0.00692589294548333,0.00385794836284499,0.00207859051766802,0.00316612248936381,0.0117716885943219,0.0056402137344152,0.0136485016318861,0.00207756232686981,0,0,0,0,0.000395765311170476,9.88924050632911e-05,0,0,9.89217528934613e-05,0.00801266198437036,0.0057351923267082,0.00771360759493671,0.00613132911392405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138504155124654,0.0147407993668381,0.00356012658227848,0.00692383778437191,0.0169089291011569,0.0114726535456434,0.00830614061109463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919790327366235,0.00207735681076269,0.00524285290335345,0.00385833003561535,0.00158290462999604,0.00168166979918884,0
"OTU205",0.001285982787615,0.000692246835443038,9.89315393747527e-05,0.00158227848101266,0.00148411991688928,0.000692452270254229,0.000296941502524003,9.8941327792619e-05,0.00257196557522999,0.000692657827033445,0.00306596775788745,0.000593589236248516,0,0,0,0,0,0,0,0,0,0.00296765258680384,0.00266983091070899,0.0021756329113924,0.00237341772151899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435298773248912,0.00524337158686189,0.000988924050632911,0.00128585558852621,0.00444971818451498,0.00168133715755118,0.00187876990012855,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118682622885966,0.000197843505786923,0.000494608764467306,0.00158290462999604,0.000395726157499011,9.89217528934613e-05,0
"OTU25",0.0048471658917796,0.00712025316455696,0.000791452314998021,0.034315664556962,0.0098941327792619,0.00652883569096844,0.00296941502524003,0.00949836746809142,0.0215649421307746,0.0107856718780922,0.0192859262189694,0.0054412346656114,0.0245301681503462,0.00128572841459796,0.0284810126582278,0,0,0,0,0,0,0.0226530814126026,0.0196776426381885,0.0107792721518987,0.0116693037974684,0,0,0,0,0,0,0,0,0.000791295746785361,0,0,0,0,0.0288880094974278,0.0335377918480412,0.00741693037974684,0.00979228486646884,0.0347078018392169,0.025318959549006,0.0184910511223178,9.88924050632911e-05,0.000494657696873763,0,0.00029673590504451,0.00326312666864432,0.00227520031654961,0,0,0,0.0120696478037198,0.0198931116389549,0.00247475747376757,0.00168166979918884,0.00455265241488519,0.00356012658227848,0.0012853470437018,0.00672934190994557,0.0245447347585115,0.00296970896852109,0,0,0,0,0.0169122737612501,0.00227520031654961,0.00652883569096844,0.00662841313810843,0.0018796992481203,0.0181026807795034,0
"OTU3509",0.00187951330497576,0,0,0,0,0,0.0066316935563694,0,0,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2160",9.89217528934613e-05,0,9.89315393747527e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU48",0.00662775744386191,0.00642800632911392,0.00108824693312228,0.0152294303797468,0.0114771940239438,0.00682560094964883,0.00415718103533604,0.01246660730187,0.0238401424473242,0.00999406293291114,0.020769459005044,0.00662841313810843,0.033135509396637,0,0.154074367088608,0.216552951646396,0.0318591075492233,0.0681368670886076,0.108297893383444,0.000791530622340952,0.254228904936195,0.169452962706499,0.0235340650647681,0.101068037974684,0.0231408227848101,0.354005934718101,0.0799723210755239,0.16401384083045,0.102067055681931,0.103977047882865,0.184309457855164,0,0.0611699495199446,0.0582591493570722,0,0,0,0,0.0216660071230708,0.0307677087455481,0.0825751582278481,0.0112759643916914,0.0252150697122516,0.0805063791909801,0.131316127756353,0.059434335443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117693601028583,0.00326441784548422,0.00662775744386191,0.00366046695686585,0.0016818361693708,0.00227520031654961,0
"OTU1224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694568121104185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1529",0.000296765258680384,0,0.000197863078749505,0,9.8941327792619e-05,0.000197843505786923,9.89805008413343e-05,0,0.000197843505786923,0,0,0,0,0,0.00089003164556962,0.00919608424799763,0.00187988522805976,0.00702136075949367,0,0.00672801028989809,0.00108813928182807,0.0219606291423484,0.000395530505290221,0.00632911392405063,0.000395569620253165,0.00128585558852621,0,0,0.0062308377015132,0,0.00316580925999209,0.000988924050632911,0.000494902504206671,0.00613254203758655,0,0,0,0,9.89315393747527e-05,9.89315393747527e-05,0.000197784810126582,0.00029673590504451,0,9.89021857383048e-05,0,0.00197784810126582,0.00455085081123862,0.00207797348110034,0.004648862512364,0.00959161475328785,0.000890295776041151,0,0,0,0.0114760585674713,0,0.000296970896852108,0,0,0.000197784810126582,9.8872849515523e-05,0,0.000197941409342835,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2316",0.000692452270254229,9.88924050632911e-05,0,0,0,0,0,9.8941327792619e-05,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0.00138558986539984,0,0,0,0,0.00188081568006335,0,0,0,0,0,0.000197843505786923,0,0.000692520775623269,0,0,0
