"","SRR13801425","SRR13800996","SRR13800985","SRR13801436","SRR13801262","SRR13801251","SRR13801085","SRR13801515","SRR13801504","SRR13801052","SRR13801041","SRR13801168","SRR13801167","SRR13801172","SRR13801166","SRR13801165","SRR13801164","SRR13801162","SRR13801161","SRR13801160","SRR13801158","SRR13801459","SRR13801458","SRR13801457","SRR13801460","SRR13801456","SRR13801455","SRR13801454","SRR13801452","SRR13801450","SRR13801449","SRR13801544","SRR13800954","SRR13800953","SRR13800951","SRR13800955","SRR13800949","SRR13800948","SRR13800947","SRR13800946","SRR13800945","SRR13800944","SRR13800943","SRR13801387","SRR13801386","SRR13801388","SRR13801384","SRR13801382","SRR13801381","SRR13801380","SRR13801379","SRR13801378","SRR13801377","SRR13801376","SRR13801005","SRR13801004","SRR13801003","SRR13801006","SRR13801002","SRR13801001","SRR13801000","SRR13800999","SRR13800998","SRR13800995","SRR13800994","SRR13801254","SRR13801253","SRR13801252","SRR13801255","SRR13801249","SRR13801103","SRR13801102","SRR13801101","SRR13801100","SRR13801099","SRR13801082","SRR13801081","SRR13801084","SRR13801080","SRR13801520","SRR13801519","SRR13801518","SRR13801517","SRR13801516","SRR13801514","SRR13801061","SRR13801058","SRR13801062","SRR13801056","SRR13801496","SRR13801495","SRR13801494","SRR13801493","SRR13801492","SRR13801491"
"OTU173",0,0,0,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0.00019776525264511,0,0,0,0,0.00029673590504451,0,0.00978744438952051,0.140484429065744,0.0201740506329114,0.0836629746835443,0.105242334322453,0,0.000395726157499011,0.000296618548546569,0.0196834817012859,9.89119683481701e-05,0,0,0,0,0,0,0,0,0.00019782393669634,0.000296853354442905,0,0,0,0,0,0.00959066640300573,0,0,0,0,0,0.0122614456639968,0.00514393115045999,0.00791452314998021,0.00950118764845606,0.00682627621685793,0.0111792639493471,0.00702066646890141,0.00326409495548961,0.00682897862232779,0.00801107704480269,0.00752102919346858,0.0010878164556962,0.0292866330266152,0.00781713833366317,0.00603721298495645,0.00405338606030648,0.0059370670888581,0.00474636606348265,0.00405458860759494,0.00375902660995153,0.00534124629080119,0.00524285290335345,0.012370113805047,0.00781481847858344,0.0130550885174562,0.00395608742953219,0.00178076770874555,0.00217670921143762,0.00563630970038564,0.00385833003561535,0.00415430267062315,0.00851063829787234,0.0126644899574552,0.00722271692886119,0.00910350286958243,0.0120660666600732,0.0108792404312135,0.0124629080118694,0.0116808552761829,0.00494853523357086,0.0107910107910108
"OTU1",0,0.000197745699031046,0.000197784810126582,0.000296765258680384,0.0660601265822785,0.000197843505786923,0.0905492330529441,0.0379934698723657,0.000296706557214914,0.00019776525264511,0.00019782393669634,0.00514342235410485,0,0.00622960545832097,0,0.000198078637218976,0.000296647878967665,0.160221540896054,0.00692520775623269,0.000296912114014252,0.0133517950746712,9.89119683481701e-05,0,9.88630746416214e-05,0,0,0,9.89119683481701e-05,0,9.89315393747527e-05,9.8872849515523e-05,0.00029673590504451,0,0,0,0.0332344213649852,0.000494462025316456,0.00356047868657897,0,0.00257094828438643,0.00148367952522255,0.0105835806132542,0,0.0828800316486994,0.23165908641487,0.162760802926926,0.000395491398062092,0.0366963402571711,0.0746490013842199,0.0248367306550564,0.0311603521614403,0.284781963808959,0.173474433784987,0.0396597764810602,0.0800949273212696,0.0485705806706895,0.0551048674317372,0.0547307996832937,0.0486743173723783,0.0614364859517214,0.104914466528231,0.0346191889218595,0.0510688836104513,0.0598358223716744,0.0513607125185552,0.00731803797468354,0.0195903829029386,0.0265188996635662,0.0132620744259699,0.0220464656450816,0.0297842865624382,0.0202709383961238,0.013251582278481,0.0204768028489465,0.0334322453016815,0.0298743693738253,0.0516575952498763,0.033237708972203,0.0256156661062209,0.0140441103748393,0.010783537791848,0.0152369644800633,0.0320379709285079,0.0393747526711516,0.0287833827893175,0.0541316180108857,0.0908281389136242,0.0460077174235678,0.0461112210567979,0.0668578775590941,0.0579566808426466,0.0747774480712166,0.0547416353197387,0.049089469517023,0.0669240669240669
"OTU107",0,0,0.000692246835443038,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0.000593178447849728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213586472856719,0.017805915520823,0.0166204986149584,0.0190023752969121,0.0175108824693312,0.0199841709537,0.0182932858696727,0.00781404549950544,0.013756927949327,0.0165166650182969,0.0148441365660564,0.0021756329113924,0.00563965568417928,0.00692657827033445,0.00445368171021378,0.00909540286702916,0.00801504056995844,0.00711954909522397,0.00346123417721519,0.00821050549015729,0.0134520276953511,0.013947967157978,0.0170212765957447,0.0130576713819369,0.00880229453070913,0.00642864207298981,0.00277008310249307,0.00544177302859404,0.0107782062691585,0.0112781954887218,0.00989119683481701,0.0200890648193963,0.0277035717819333,0.0134560205797962,0.016821690085098,0.0193848284047077,0.0196815349619227,0.0261127596439169,0.0147495545436547,0.016132224861441,0.0200970200970201
"OTU561",0,0,0,0,0,0,0,0,0,0,0,0.00148367952522255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019782393669634,0,0,0,9.88826263225551e-05,0,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0,0,0.00909720162167507,0.00455040063309922,0.00702413929560744,0.0063341250989707,0.00534230312623664,0.00850811238622873,0.00514189656877287,0.00346191889218595,0.00465162311955661,0.00524181584413016,0.0045522018802573,0.000593354430379747,0.00187988522805976,0.00158321789036216,0.000791765637371338,0.00247157686604053,0.00277063130813378,0.00148323939483833,0.00138449367088608,0.00158274804629538,0.00445103857566766,0.00405579186863191,0.00514596734289955,0.00415471362152537,0.00178023934328949,0.000890119671644743,0.00178076770874555,0.00128623726130405,0.00326312666864432,0.00336367233874159,0.00346191889218595,0.00504700643245918,0.0107846047293955,0.00445235975066785,0.00455175143479121,0.00791217485906438,0.008109979230541,0.00890207715133531,0.00504850524648584,0.00613618368962787,0.00871200871200871
"OTU67",0.00365829543207435,0.000692109946608661,0.00356012658227848,0.000890295776041151,9.88924050632911e-05,0.00197843505786923,0.000791687283523008,0.00742059958444642,0.00178023934328949,0.00237318303174132,0.00138476755687438,0.00108803165182987,0.00148338607594937,0.00148323939483833,0.00138449367088608,0.00178270773497078,0.00207653515277366,0.000296706557214914,0.000395726157499011,0.00118764845605701,0.000296706557214914,0.0217606330365974,0.0157238924050633,0.0210578348986653,0.0461690558576372,0.00880142405063291,0.0078125,0.0130563798219585,0.00168100464748344,0.000890383854372774,0.00227407553885703,0.0601384767556874,0.00019782393669634,9.88826263225551e-05,0.000296823983377857,0.00138476755687438,0.000692246835443038,0.000494510928691524,0.000593413114429829,0.000593295757935331,0,9.89119683481701e-05,0.00118741341777162,0.00019780437147661,0,0,0,9.89119683481701e-05,0.00108760134467075,0.000494755590738175,0.000197843505786923,0.00138435676851577,0.000494510928691524,0.00365938087231728,0.0195787600118659,0.0138490454050846,0.0237435694499406,0.0207838479809976,0.0209734863474476,0.0241392956074397,0.0120636804113517,0.0177052423343225,0.0130641330166271,0.0212639699337355,0.0237506185056903,0.00197784810126582,0.00563965568417928,0.00534336037997229,0.00534441805225653,0.00474542758279782,0.00910350286958243,0.00504301394245031,0.0405458860759494,0.0096943317835592,0.00840751730959446,0.0120684538530023,0.0140524492825334,0.00702344445543575,0.00692315300168134,0.00425279398674711,0.00178076770874555,0.0036608291283269,0.00880055374270741,0.009200633161852,0.00593471810089021,0.0128649183572489,0.022855446720095,0.0101909567626398,0.010587769641797,0.0167144693897735,0.0185936109188013,0.0205736894164194,0.0128687388635914,0.0144497228820269,0.0174240174240174
"OTU6679",0.0139410717816887,0.0174016215147321,0.096815664556962,0.000989217528934613,0.00168117088607595,0.00860619250173113,0.0261256803562593,0.00524389037300881,9.89021857383048e-05,0.0028675961633541,0.0177052423343225,0.0393669634025717,0.000197784810126582,0.000593295757935331,0.00197784810126582,0.00178270773497078,0.00316424404232176,0.000395608742953219,0.0133557578155916,0,0,0,0,0,0,0,0,0,0,0,0.00682222661657109,0,0.00276953511374876,0.0112726194007713,0.00969625012367666,0.0115727002967359,0.0113726265822785,0.0178023934328949,0.00286816338641084,0.016216750716899,0.0199802176063304,0.03837784371909,0.00336433801701959,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,9.89021857383048e-05,0.0686245426678533,0.0492630329409437,0.0533240997229917,0.0645288994457641,0.0490700435298773,0.0618322121092204,0.0506279046771482,0.0320474777448071,0.0503760886777514,0.059044604885768,0.0522513607125186,0.00860363924050633,0.0229543880478876,0.0231545616465466,0.0151425178147268,0.0253089471082551,0.0315654066890956,0.0211608820330268,0.0152294303797468,0.0228509249183896,0.0372898120672601,0.0335344742308834,0.0483918852053439,0.0313581956672272,0.0281871229354169,0.0219562852339037,0.0106846062524733,0.0176115563470862,0.0347078018392169,0.0369014641867827,0.029673590504451,0.0504700643245918,0.074008113188879,0.0392797071336697,0.0540273105086087,0.0617149639007022,0.067154584116309,0.0762611275964392,0.0534547614333795,0.0559184481393507,0.0605880605880606
"OTU102",0.00158196559224837,0.00435040537868301,0.00850474683544304,0,0,0,0,0,0.00019780437147661,0,0,0.00603363006923838,0,0.000988826263225551,0,0.000594235911656928,0.00563630970038564,0,0.00395726157499011,0,0,0.000791295746785361,0.000395569620253165,0.0032624814631735,0.0154226396440929,0.0209651898734177,0.0503362341772152,0.0339268051434224,0.00187876990012855,0.00128611001187178,0.00662448091754004,0.000692383778437191,0.00019782393669634,0.000395530505290221,9.8941327792619e-05,0.00178041543026706,0.00178006329113924,0.00158243497181288,0,0.00533966182141798,0,0.00019782393669634,0.00405699584405304,0.209079220650776,0.00533913387383824,9.88826263225551e-05,0.010579394898161,0.0784371909000989,0.0917540043504054,0.186918662180883,0.139677515085567,0.000889943636902996,0.0145386213035308,0.0359014934230047,0.0119647977850292,0.00830942724305075,0.0093984962406015,0.00930324623911322,0.009200633161852,0.010387811634349,0.00880055374270741,0.00682492581602374,0.0111836896278702,0.0133517950746712,0.0183077684314696,0.0115704113924051,0.00267141585040071,0.00316643578072432,0.00742280285035629,0.00395452298566485,0.023055610528399,0.00346089192128943,0.00286787974683544,0.00830942724305075,0.0108803165182987,0.0043525571273123,0.00672934190994557,0.00573746166782075,0.00217584808624271,0.00217584808624271,0.00158290462999604,0.00178094390026714,0.00415307030554731,0.0054412346656114,0.00375865479723046,0.0122711528946066,0.0176115563470862,0.00672801028989809,0.010290916287354,0.0114726535456434,0.00830778360201761,0.0173095944609298,0.00920609780241536,0.00673000791765637,0.00999900999901
"OTU5",0.0593237097093138,0.0217520268934151,0.0623022151898734,0.210208724898605,0.0100870253164557,0.110792363240677,0.0466105888174171,0.0183041456416345,0.0302640688359213,0.0510234351824384,0.00504451038575668,0.0618199802176063,0.0587420886075949,0.00514189656877287,0.00454905063291139,0.0163414875705655,0.0178977553643825,0.00187914152902779,0.00474871388998813,0.0573040380047506,0.0100880229453071,0.104055390702275,0.00425237341772152,0.0804745427582798,0.000889767671774592,0.00187895569620253,0.0636867088607595,0.0124629080118694,0.0193809947592208,0.0073209339137317,0.0155230373739371,0.0261127596439169,0.000494559841740851,0.00593295757935331,0.0321559315326012,0.00613254203758655,0.0215585443037975,0.0225496983483335,0.00464840272970033,0.00504301394245031,0.00741839762611276,0.0449060336300692,0.00435384919849594,0.0100880229453071,0.000494364247577615,0.0180955206170276,0,9.89119683481701e-05,9.8872849515523e-05,0,0.000197843505786923,0,0.0020769459005044,0.00247255464345762,0.0909720162167507,0.0793352458205559,0.0848832607835378,0.112133808392716,0.0674713098535813,0.102592006331619,0.0612083456936616,0.0589515331355094,0.0728424386381631,0.0743744436752052,0.0580900544285007,0.0418314873417722,0.0400712377560107,0.0336433801701959,0.102731591448931,0.0325259515570934,0.0831189392440135,0.0450904776030851,0.0463805379746835,0.114155702839054,0.0615232443125618,0.0585616777129291,0.100247402276101,0.0650905134038975,0.0426268420532094,0.0193848284047077,0.0390779580530273,0.0209755614920352,0.0721843172154652,0.0427384250098932,0.0400593471810089,0.0752102919346858,0.104185218165628,0.0645097457207876,0.061547595487829,0.0709128671743646,0.0742755414894669,0.0968348170128586,0.0728568600277173,0.0725455265241488,0.0859320859320859
"OTU12",0.0120624876408938,0.00177971129127941,0.000988924050632911,0,0,9.89217528934613e-05,0.000197921820880752,0,0,9.88826263225551e-05,0.00019782393669634,0.00544015825914936,0,0,0,9.9039318609488e-05,0.000692178384257886,0,0.000296794618124258,0.000197941409342835,0,0,0,9.88630746416214e-05,0,0,0,0,0,0.000197863078749505,0,0,0.00019782393669634,0.000593295757935331,0.000494706638963095,0.00267062314540059,0.00118670886075949,0.000890119671644743,0,9.88826263225551e-05,0.00029673590504451,9.89119683481701e-05,0.000989511181476351,0,0,0,0,0.00019782393669634,0,0,0,0,0,9.89021857383048e-05,0.0578463363986947,0.0472845978830745,0.0474871388998813,0.0457244655581948,0.0440245350217649,0.0558963197467353,0.0467714822505686,0.0233432245301682,0.0417656373713381,0.0540005934131144,0.0445324096981692,0.00850474683544304,0.0180073216582567,0.0210765881654463,0.0132620744259699,0.0217498764211567,0.0299821887987334,0.0196776426381885,0.0124604430379747,0.0209714116134138,0.0333333333333333,0.0327431002077357,0.0434438396833251,0.0296765258680384,0.0236376223914549,0.0196815349619227,0.00801345468935497,0.0157316711190264,0.0321368535548304,0.0366046695686585,0.0271018793273986,0.0456209797130134,0.0730186999109528,0.0321559315326012,0.0437363942212547,0.0578577786569083,0.0539016912273761,0.0627101879327399,0.0461294793110275,0.0429532858273951,0.052965052965053
"OTU7",0.00118647419418628,0.000296618548546569,0.000197784810126582,0,0,0,0,0,0,0,0,0.0233432245301682,0.0259098101265823,0.0057351923267082,0.00148338607594937,0.0671486580172328,0.105705527538811,0.0121649688458115,0.00791452314998021,0.00108867775138559,0.0141430125605776,0.130959446092977,0.0022745253164557,0.032624814631735,0.227780523974296,0.122033227848101,0.139339398734177,0.0560830860534125,0.239691486205874,0.158290462999604,0.0805813723551513,0.122453016815035,0,0,0.000494706638963095,0.00633036597428289,0.000395569620253165,0.00178023934328949,0,0.000395530505290221,0.00138476755687438,0.00138476755687438,0,0.109583621798042,0,0.00613072283199842,0.0286731263595017,0.0672601384767557,0.11350603124382,0.0717395606570354,0.00227520031654961,0.0794027489370118,0.10266046879636,0.0980120660666601,0.0496390784139227,0.0455040063309922,0.0491689750692521,0.0498812351543943,0.0412544519192719,0.0535219628017412,0.0436072382082468,0.0213649851632047,0.0408749010292953,0.0521214518840866,0.055517070757051,0.0127571202531646,0.0178094390026714,0.0248367306550564,0.0308788598574822,0.0360850222441918,0.0374035226598061,0.0156234549589637,0.0624011075949367,0.0419428232268276,0.0344213649851632,0.0534177465624691,0.0433448787728847,0.0638045306162825,0.024329937691623,0.0176045890614183,0.0112781954887218,0.0163253190857821,0.0294670226441214,0.0277997625643055,0.0210682492581602,0.0449282533399307,0.0609478579202533,0.0341347580884535,0.0380961804868395,0.0569676589852636,0.0437147660963307,0.0580613254203759,0.0387052068897248,0.0395882818685669,0.0461340461340461
"OTU749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355977454761198,0.00247304382233653,0.00257222002374357,0.00306809184481394,0.00197863078749505,0.00148397309062129,0.000889943636902996,0.00128585558852621,0.0022763262074426,0.00178023934328949,0.00128649183572489,0.000197784810126582,0.000197882655585238,0.000494755590738175,0,0.000889767671774592,0.000692657827033445,0.000494413131612776,0.000593354430379747,0.000494608764467306,0.00108803165182987,0.000395687011573845,0.00108857001484414,0.00108813928182807,0.000494510928691524,0.000494510928691524,0.000197863078749505,0.000593647966755714,0.00158212202116088,0.00118717847249703,0.000791295746785361,0.0024740227610094,0.00395765311170476,0.000692589294548333,0.00118741341777162,0.00356047868657897,0.0019780437147661,0.00375865479723046,0.00277172837061968,0.00306809184481394,0.00257400257400257
"OTU2",0,0,0,0,0.000197784810126582,0,0.000197921820880752,0.000197882655585238,0,0,0,0,0,0,0,0,0,0.000296706557214914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692109946608661,0.000296647878967665,0,0,9.8872849515523e-05,0,0,0.000494413131612776,0.00019780437147661,0,0,9.89217528934613e-05,0,0.000197941409342835,9.89315393747527e-05,0,9.88826263225551e-05,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00019782393669634,0,9.8960910440376e-05,0,0,0,0,0,0,0,0,9.8960910440376e-05,0.000296823983377857,0,0,0.000296706557214914,9.89021857383048e-05,0,0,0,0.000198000198000198
"OTU877",0,0,0,0,0,0,0,0.000197882655585238,0,0,0,0,0,0,0,9.9039318609488e-05,0,9.89021857383048e-05,0,0,0,0,0.00623022151898734,9.88630746416214e-05,0,0.000197784810126582,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257145682919593,0,0.000494413131612776,0,0.000791295746785361,0.000197745699031046,0.000890560063328716,9.89217528934613e-05,0.00019776525264511,9.89021857383048e-05,0,0,0,0,0.000197941409342835,0,0,0,9.89119683481701e-05,0.000494853523357086,0,0.00049480455220188,0,0,0,0.000395882818685669,9.88630746416214e-05,0,0,9.88924050632911e-05,0.000197843505786923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU12011",0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296706557214914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494413131612776,0.000197843505786923,9.89315393747527e-05,0.000494853523357086,9.89315393747527e-05,0.000395726157499011,0.000296647878967665,0.00019782393669634,9.89707046714173e-05,0.000296706557214914,0.000197921820880752,9.88924050632911e-05,9.8941327792619e-05,9.89511181476351e-05,0,0.000494315373208107,0.00039580447259054,9.88826263225551e-05,0,9.89217528934613e-05,0.00019782393669634,0.000395687011573845,0.000395843641761504,0.000197843505786923,0.000296706557214914,0.00019780437147661,0.000197863078749505,0,0.00019776525264511,0.000197863078749505,9.89119683481701e-05,0.000692726373082632,0.000197882655585238,9.8941327792619e-05,0.000296853354442905,0.000593413114429829,0.000296706557214914,0.00019782393669634,0.000296970896852108,0.000197941409342835,9.9000099000099e-05
"OTU24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197941409342835,0.000692315300168134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175022248590923,0.011573845088535,0.0151365255243372,0.01256927949327,0.0093984962406015,0.0167194301543332,0.00998714525857807,0.00484668644906034,0.0107878068091845,0.0120660666600732,0.0111825828797625,0.000692246835443038,0.00306718116157119,0.00286958242628142,0.00207838479809976,0.00346020761245675,0.00672867603403918,0.00385642242657965,0.0021756329113924,0.00445147888020576,0.00722057368941642,0.00692452270254229,0.0113805047006432,0.00801266198437036,0.00375828305805558,0.00276926120067253,0.00118717847249703,0.00178094390026714,0.00514189656877287,0.0056390977443609,0.00544015825914936,0.0127659574468085,0.0246363906203621,0.00831107153457999,0.0118741341777162,0.0156265453466522,0.0148353278607457,0.0204747774480712,0.0120768164719857,0.0102929532858274,0.0152460152460152
"OTU187",0,0,0,0.00118706103472154,0.00356012658227848,0,0,0.00138517858909667,0,0,0.000494559841740851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015326807079996,0.0108813928182807,0.0124653739612188,0.0142517814726841,0.00999208547685002,0.0148397309062129,0.00978938000593296,0.00544015825914936,0.0111836896278702,0.0101869251310454,0.011578426521524,0.000593354430379747,0.00375977045611952,0.00306748466257669,0.00207838479809976,0.00514087988136431,0.00662972491589155,0.00346089192128943,0.00316455696202532,0.00336333959837768,0.00613254203758655,0.00662775744386191,0.0101929737753587,0.00652883569096844,0.00326377212936406,0.00306596775788745,0.00227542540561931,0.00286929850598595,0.0068229012162563,0.00613375544123467,0.00425321463897132,0.0120732310737259,0.0240427426536064,0.00870683684575047,0.00979616069661587,0.0180990999901098,0.0137474038176244,0.0188921859545005,0.0110869134824787,0.00940221694378464,0.0133650133650134
"OTU205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0.00563630970038564,0.00237412206944307,0.00464978235061338,0.0034639746634996,0.00138504155124654,0.00415512465373961,0.00158212202116088,0.000989119683481701,0.00356294536817102,0.00316486994362575,0.00385947550717467,9.88924050632911e-05,0.00098941327792619,0.00128636453591926,0.000791765637371338,0.000593178447849728,0.00227587571739561,0.000988826263225551,0.00118670886075949,0.000989217528934613,0.00187932739861523,0.00227520031654961,0.00217714002968827,0.0017805915520823,0.00148353278607457,0.000395608742953219,0.000296794618124258,0.000494706638963095,0.00168100464748344,0.0018796992481203,0.00118694362017804,0.00445324096981692,0.00791530622340952,0.00227565053923024,0.00316643578072432,0.00464840272970033,0.00247255464345762,0.00623145400593472,0.00247475747376757,0.00366191607284244,0.00326700326700327
"OTU25",0.0447894008305319,0.0725726715443939,0.0201740506329114,0.00455040063309922,9.88924050632911e-05,0.0756751409634979,0.0472043542800594,0.000494706638963095,0.000890119671644743,0.00365865717393454,0.0019782393669634,0.164094955489614,0.024129746835443,0.0376742806288935,0.0615110759493671,0.00406061206298901,0.147631761099575,0.00128572841459796,0.00296794618124258,0.000395882818685669,0.00296706557214914,0,0,0,0.0142362827483935,0,0.0271954113924051,0,0,0.010387811634349,0,0,0.000890207715133531,0.00474636606348265,0.0117740180073217,0.0125618199802176,0.0142405063291139,0.0800118682622886,0.0289783404213233,0.0812815188371403,0.0807121661721068,0.0915924826904055,0.00415594696220067,0,0,0,0.00168083844176389,0.00019782393669634,0,0,0,0,0,0,0.0347078018392169,0.0233455336828569,0.0253264740799367,0.0303840063341251,0.0210724178868223,0.0299762564305501,0.020666468901414,0.00989119683481701,0.021575613618369,0.0262090792206508,0.0233547748639287,0.00247231012658228,0.00613436232314238,0.00752028497922027,0.00405779889152811,0.0087988136431043,0.0128636453591926,0.00761396222683674,0.00534018987341772,0.00860619250173113,0.0178041543026706,0.0909090909090909,0.0217714002968827,0.0143436541695519,0.0113737513599051,0.00514291365839185,0.026810447170558,0.00425447709508262,0.0101849105112232,0.0138504155124654,0.0103857566765579,0.0266204849084612,0.0528346690412585,0.0208766201642426,0.0226598060558084,0.0320443081792108,0.0310552863218277,0.0425321463897132,0.0274203128093447,0.0248416468725257,0.0327690327690328
"OTU1529",9.8872849515523e-05,0,0,9.89217528934613e-05,0.00089003164556962,0,0.000395843641761504,0,0.000593413114429829,0,0,0,0,0,0,0,0,0.000791217485906439,9.89315393747527e-05,0.0022763262074426,0.000593413114429829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0.000494510928691524,0,0,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2316",0,0,0.000296677215189873,0,0.000197784810126582,0,0.000197921820880752,9.8941327792619e-05,9.89021857383048e-05,0.00019776525264511,0,0,0,0.000395530505290221,0.00158227848101266,9.9039318609488e-05,0.000395530505290221,0,0,0.000791765637371338,0,0,0,0,0,0,0,0,9.88826263225551e-05,9.89315393747527e-05,0,0,0,9.88826263225551e-05,0,0.000692383778437191,0.000197784810126582,0,0,0,9.89119683481701e-05,0.00108803165182987,0.000494755590738175,0.00593413114429829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89707046714173e-05,0,9.89511181476351e-05,0,9.88924050632911e-05,0,0,0,0,0,0,9.89021857383048e-05,9.89315393747527e-05,0,0.00019776525264511,0,0,9.8960910440376e-05,0,0,9.89511181476351e-05,0,0,0,0,0,0
"OTU423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00464748343716009,0.00217627856365615,0.00504550850811239,0.00415676959619952,0.00326474079936684,0.00524337158686189,0.00494413131612776,0.00286844708209693,0.00306809184481394,0.00375828305805558,0.00336467095497279,9.88924050632911e-05,0.00138517858909667,0.00079160894518108,0.00158353127474268,0.000790904597132971,0.00158321789036216,0.00108770888954811,0.00089003164556962,0.00138490454050846,0.00326409495548961,0.00207735681076269,0.00385947550717467,0.00276980908101692,0.00168133715755118,0.00118682622885966,0.000890383854372774,0.000692589294548333,0.00247206565806388,0.00247328848436882,0.00168150346191889,0.00405739732805542,0.00811318887899476,0.00356188780053428,0.00484860478923412,0.00514291365839185,0.00375828305805558,0.00900098911968348,0.0034646604632746,0.00415676959619952,0.00415800415800416
"OTU1509",9.8872849515523e-05,0,0,0.000593530517360768,9.88924050632911e-05,0,0,0.000197882655585238,9.89021857383048e-05,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415307030554731,0.00395687011573845,0.00682627621685793,0.0057403008709422,0.00623268698060942,0.0056390977443609,0.00365865717393454,0.00217606330365974,0.00455265241488519,0.00603303333003659,0.00435428005937655,0.000791139240506329,0.000791530622340952,0.00227587571739561,0.000989707046714173,0.00217498764211567,0.00286958242628142,0.00168100464748344,0.00118670886075949,0.00168166979918884,0.00267062314540059,0.00197843505786923,0.00385947550717467,0.00375902660995153,0.00336267431510236,0.00128572841459796,0.00108824693312228,0.0015830612446819,0.00187876990012855,0.00247328848436882,0.0029673590504451,0.00316674913409203,0.00771742356782428,0.00504600771742357,0.00415594696220067,0.00484620710117694,0.00534071802986846,0.00751730959446093,0.00445456345278163,0.00435471100554236,0.00366300366300366
